,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Commercial Positions-Long (All),Commercial Positions-Short (All),Total Reportable Positions-Long (All),Total Reportable Positions-Short (All),Nonreportable Positions-Long (All),Nonreportable Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Change in Noncommercial-Spreading (All),Change in Commercial-Long (All),Change in Commercial-Short (All),Change in Total Reportable-Long (All),Change in Total Reportable-Short (All),Change in Nonreportable-Long (All),Change in Nonreportable-Short (All),% OF OI-Noncommercial-Long (All),% OF OI-Noncommercial-Short (All),% OF OI-Noncommercial-Spreading (All),% OF OI-Commercial-Long (All),% OF OI-Commercial-Short (All),% OF OI-Total Reportable-Long (All),% OF OI-Total Reportable-Short (All),% OF OI-Nonreportable-Long (All),% OF OI-Nonreportable-Short (All),Traders-Noncommercial-Long (All),Traders-Noncommercial-Short (All),Traders-Noncommercial-Spreading (All),Traders-Commercial-Long (All),Traders-Commercial-Short (All),Traders-Total Reportable-Long (All),Traders-Total Reportable-Short (All),Markets
227,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2020-04-07,3447518,369416,509441,2417738,2524523,2859855,3106665,587663,340853,-59205,52000,17117,-25897,-29115,-67985,40002,75935,-32052,10.7,14.8,2.1,70.1,73.2,83.0,90.1,17.0,9.9,99,123,62,278,294,409,448,E-MINI
234,E-MINI RUSSELL 2000 INDEX - CHICAGO MERCANTILE EXCHANGE,2020-04-07,561385,61159,72252,480604,467084,546038,543611,15347,17774,112,-2007,268,23481,24528,23861,22789,63,1135,10.9,12.9,0.8,85.6,83.2,97.3,96.8,2.7,3.2,46,42,16,140,123,193,174,RUSSELL
230,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2020-04-07,36673,11959,9156,18698,19808,31142,29449,5531,7224,-766,711,86,-83,-1738,-763,-940,132,310,32.6,25.0,1.3,51.0,54.0,84.9,80.3,15.1,19.7,57,36,21,96,84,161,133,NASDAQ
209,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2020-04-07,28696,22818,7794,2059,18283,25629,26829,3067,1867,-134,-1093,74,-14,539,-74,-480,-202,204,79.5,27.2,2.6,7.2,63.7,89.3,93.5,10.7,6.5,31,19,7,6,6,40,30,$ Index
210,EURO FX - CHICAGO MERCANTILE EXCHANGE,2020-04-07,554697,161185,81561,304521,422120,472795,510770,81902,43927,6138,761,-3116,-11001,6344,-7979,3989,10924,-1044,29.1,14.7,1.3,54.9,76.1,85.2,92.1,14.8,7.9,75,42,25,96,71,175,134,EUR
207,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2020-04-07,150318,31254,27561,96711,93785,131842,125223,18476,25095,-5895,-4595,-863,-10335,-8782,-17093,-14240,2185,-668,20.8,18.3,2.6,64.3,62.4,87.7,83.3,12.3,16.7,17,23,7,35,42,56,68,GBP
208,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-04-07,118595,49249,26839,51300,70904,101079,98273,17516,20322,805,-3323,-4,-1854,2683,-1053,-644,-622,-1031,41.5,22.6,0.4,43.3,59.8,85.2,82.9,14.8,17.1,24,26,10,37,32,68,61,JPY
204,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2020-04-07,117523,17052,41485,72887,43400,92512,87458,25011,30065,-4465,-1961,471,-2188,-5065,-6182,-6555,814,1187,14.5,35.3,2.2,62.0,36.9,78.7,74.4,21.3,25.6,17,19,6,32,30,50,54,CAD
233,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2020-04-07,130056,26483,61881,86869,38875,114850,102254,15206,27802,-832,2902,673,-581,-4111,-740,-536,-186,-390,20.4,47.6,1.2,66.8,29.9,88.3,78.6,11.7,21.4,14,28,7,22,30,43,58,AUD
213,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2020-04-07,40306,9968,24621,27426,8977,38344,34548,1962,5758,1928,475,-14,-1251,403,663,864,499,298,24.7,61.1,2.4,68.0,22.3,95.1,85.7,4.9,14.3,20,28,6,20,14,42,46,NZD
220,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-04-07,5448,3380,4790,0,0,3683,5093,1765,355,782,1487,213,0,0,995,1700,506,-199,62.0,87.9,5.6,0.0,0.0,67.6,93.5,32.4,6.5,33,22,9,0,0,39,25,BTC
